id,numViolations,impact,finalScore,tags,description,help,helpUrl,nodes
landmark-one-main,3,moderate,3,"['cat.semantics', 'best-practice']",Ensure the document has a main landmark,Document should have one main landmark,https://dequeuniversity.com/rules/axe/4.10/landmark-one-main?application=playwright,"[{'any': [], 'all': [{'id': 'page-has-main', 'data': None, 'relatedNodes': [], 'impact': 'moderate', 'message': 'Document does not have a main landmark'}], 'none': [], 'impact': 'moderate', 'html': '<html dir=""ltr"" lang=""en"">', 'target': ['html'], 'failureSummary': 'Fix all of the following:\n  Document does not have a main landmark'}]"
page-has-heading-one,3,moderate,3,"['cat.semantics', 'best-practice']","Ensure that the page, or at least one of its frames contains a level-one heading",Page should contain a level-one heading,https://dequeuniversity.com/rules/axe/4.10/page-has-heading-one?application=playwright,"[{'any': [], 'all': [{'id': 'page-has-heading-one', 'data': None, 'relatedNodes': [], 'impact': 'moderate', 'message': 'Page must have a level-one heading'}], 'none': [], 'impact': 'moderate', 'html': '<html dir=""ltr"" lang=""en"">', 'target': ['html'], 'failureSummary': 'Fix all of the following:\n  Page must have a level-one heading'}]"
region,3,moderate,3,"['cat.keyboard', 'best-practice']",Ensure all page content is contained by landmarks,All page content should be contained by landmarks,https://dequeuniversity.com/rules/axe/4.10/region?application=playwright,"[{'any': [{'id': 'region', 'data': {'isIframe': False}, 'relatedNodes': [], 'impact': 'moderate', 'message': 'Some page content is not contained by landmarks'}], 'all': [], 'none': [], 'impact': 'moderate', 'html': '<div style=""padding:32px 64px"">\n    <img alt=""Google Calendar"" src=""https://fonts.gstatic.com/s/i/productlogos/calendar_2020q4/v13/192px.svg"" style=""border:none"">\n   </div>', 'target': ['.root > div:nth-child(1)'], 'failureSummary': 'Fix any of the following:\n  Some page content is not contained by landmarks'}, {'any': [{'id': 'region', 'data': {'isIframe': False}, 'relatedNodes': [], 'impact': 'moderate', 'message': 'Some page content is not contained by landmarks'}], 'all': [], 'none': [], 'impact': 'moderate', 'html': '<div style=""color:#5f6368;font-size:20px;font-weight:500;padding-left:16px"">\n    Google Calendar - Easier Time Management, Appointments &amp; Scheduling\n   </div>', 'target': ['div:nth-child(2)'], 'failureSummary': 'Fix any of the following:\n  Some page content is not contained by landmarks'}, {'any': [{'id': 'region', 'data': {'isIframe': False}, 'relatedNodes': [], 'impact': 'moderate', 'message': 'Some page content is not contained by landmarks'}], 'all': [], 'none': [], 'impact': 'moderate', 'html': '<div style=""color:rgba(0,0,0,0.871);font-size:15px;padding:16px"">\n    Learn how Google Calendar helps you stay on top of your plans - at home, at work and everywhere in between.\n   </div>', 'target': ['div:nth-child(3)'], 'failureSummary': 'Fix any of the following:\n  Some page content is not contained by landmarks'}]"
