id,impact,tags,description,help,helpUrl,nodeImpact,nodeHtml,nodeTarget,nodeType,message,numViolation
aria-prohibited-attr,serious,cat.aria|wcag2a|wcag412|EN-301-549|EN-9.4.1.2,Ensure ARIA attributes are not prohibited for an element's role,Elements must only use permitted ARIA attributes,https://dequeuniversity.com/rules/axe/4.10/aria-prohibited-attr?application=playwright,serious,"<g fill=""rgb(112,117,122)"" font-size=""9.46345043182373"" font-family=""Google Sans"" font-style=""normal"" font-weight=""500"" aria-label=""T"" transform=""matrix(1,0,0,1,60.71299743652344,20.623001098632812)"" opacity=""1"" style=""display: block;"">","gws-lottie[width=""700""],g[aria-label=""T""][fill=""rgb(112,117,122)""][font-size=""9.46345043182373""]:nth-child(3)",none,aria-label attribute cannot be used on a g with no valid role attribute.,8
aria-prohibited-attr,serious,cat.aria|wcag2a|wcag412|EN-301-549|EN-9.4.1.2,Ensure ARIA attributes are not prohibited for an element's role,Elements must only use permitted ARIA attributes,https://dequeuniversity.com/rules/axe/4.10/aria-prohibited-attr?application=playwright,serious,"<g fill=""rgb(112,117,122)"" font-size=""9.46345043182373"" font-family=""Google Sans"" font-style=""normal"" font-weight=""500"" aria-label=""W"" transform=""matrix(1,0,0,1,84.9990005493164,20.623001098632812)"" opacity=""1"" style=""display: block;"">","gws-lottie[width=""700""],g[aria-label=""W""]",none,aria-label attribute cannot be used on a g with no valid role attribute.,8
aria-prohibited-attr,serious,cat.aria|wcag2a|wcag412|EN-301-549|EN-9.4.1.2,Ensure ARIA attributes are not prohibited for an element's role,Elements must only use permitted ARIA attributes,https://dequeuniversity.com/rules/axe/4.10/aria-prohibited-attr?application=playwright,serious,"<g fill=""rgb(112,117,122)"" font-size=""9.46345043182373"" font-family=""Google Sans"" font-style=""normal"" font-weight=""500"" aria-label=""T"" transform=""matrix(1,0,0,1,109.28500366210938,20.623001098632812)"" opacity=""1"" style=""display: block;"">","gws-lottie[width=""700""],g[aria-label=""T""][fill=""rgb(112,117,122)""][font-size=""9.46345043182373""]:nth-child(5)",none,aria-label attribute cannot be used on a g with no valid role attribute.,8
aria-prohibited-attr,serious,cat.aria|wcag2a|wcag412|EN-301-549|EN-9.4.1.2,Ensure ARIA attributes are not prohibited for an element's role,Elements must only use permitted ARIA attributes,https://dequeuniversity.com/rules/axe/4.10/aria-prohibited-attr?application=playwright,serious,"<g fill=""rgb(112,117,122)"" font-size=""9.46345043182373"" font-family=""Google Sans"" font-style=""normal"" font-weight=""500"" aria-label=""F"" transform=""matrix(1,0,0,1,133.57000732421875,20.623001098632812)"" opacity=""1"" style=""display: block;"">","gws-lottie[width=""700""],g[aria-label=""F""]",none,aria-label attribute cannot be used on a g with no valid role attribute.,8
aria-prohibited-attr,serious,cat.aria|wcag2a|wcag412|EN-301-549|EN-9.4.1.2,Ensure ARIA attributes are not prohibited for an element's role,Elements must only use permitted ARIA attributes,https://dequeuniversity.com/rules/axe/4.10/aria-prohibited-attr?application=playwright,serious,"<g fill=""rgb(112,117,122)"" font-size=""9.46345043182373"" font-family=""Google Sans"" font-style=""normal"" font-weight=""500"" aria-label=""S"" transform=""matrix(1,0,0,1,157.8560028076172,20.623001098632812)"" opacity=""1"" style=""display: block;"">","gws-lottie[width=""700""],g[aria-label=""S""][fill=""rgb(112,117,122)""][font-size=""9.46345043182373""]:nth-child(7)",none,aria-label attribute cannot be used on a g with no valid role attribute.,8
aria-prohibited-attr,serious,cat.aria|wcag2a|wcag412|EN-301-549|EN-9.4.1.2,Ensure ARIA attributes are not prohibited for an element's role,Elements must only use permitted ARIA attributes,https://dequeuniversity.com/rules/axe/4.10/aria-prohibited-attr?application=playwright,serious,"<g fill=""rgb(128,134,139)"" font-size=""7.56500005722046"" font-family=""Google Sans"" font-style=""normal"" font-weight=""500"" aria-label=""26"" transform=""matrix(1,0,0,1,12.142000198364258,19.389999389648438)"" opacity=""1"" style=""display: block;"">","gws-lottie[width=""700""],g[aria-label=""26""][font-size=""7.56500005722046""][fill=""rgb(128,134,139)""]",none,aria-label attribute cannot be used on a g with no valid role attribute.,8
aria-prohibited-attr,serious,cat.aria|wcag2a|wcag412|EN-301-549|EN-9.4.1.2,Ensure ARIA attributes are not prohibited for an element's role,Elements must only use permitted ARIA attributes,https://dequeuniversity.com/rules/axe/4.10/aria-prohibited-attr?application=playwright,serious,"<g fill=""rgb(128,134,139)"" font-size=""7.56500005722046"" font-family=""Google Sans"" font-style=""normal"" font-weight=""500"" aria-label=""27"" transform=""matrix(1,0,0,1,36.426998138427734,19.389999389648438)"" opacity=""1"" style=""display: block;"">","gws-lottie[width=""700""],g[aria-label=""27""][font-size=""7.56500005722046""][fill=""rgb(128,134,139)""]",none,aria-label attribute cannot be used on a g with no valid role attribute.,8
aria-prohibited-attr,serious,cat.aria|wcag2a|wcag412|EN-301-549|EN-9.4.1.2,Ensure ARIA attributes are not prohibited for an element's role,Elements must only use permitted ARIA attributes,https://dequeuniversity.com/rules/axe/4.10/aria-prohibited-attr?application=playwright,serious,"<g fill=""rgb(128,134,139)"" font-size=""7.56500005722046"" font-family=""Google Sans"" font-style=""normal"" font-weight=""500"" aria-label=""28"" transform=""matrix(1,0,0,1,60.7130012512207,19.389999389648438)"" opacity=""1"" style=""display: block;"">","gws-lottie[width=""700""],g[aria-label=""28""][font-size=""7.56500005722046""][fill=""rgb(128,134,139)""]",none,aria-label attribute cannot be used on a g with no valid role attribute.,8
aria-prohibited-attr,serious,cat.aria|wcag2a|wcag412|EN-301-549|EN-9.4.1.2,Ensure ARIA attributes are not prohibited for an element's role,Elements must only use permitted ARIA attributes,https://dequeuniversity.com/rules/axe/4.10/aria-prohibited-attr?application=playwright,serious,"<g fill=""rgb(128,134,139)"" font-size=""7.56500005722046"" font-family=""Google Sans"" font-style=""normal"" font-weight=""500"" aria-label=""29"" transform=""matrix(1,0,0,1,84.99899291992188,19.389999389648438)"" opacity=""1"" style=""display: block;"">","gws-lottie[width=""700""],g[aria-label=""29""][font-size=""7.56500005722046""][fill=""rgb(128,134,139)""]",none,aria-label attribute cannot be used on a g with no valid role attribute.,8
aria-prohibited-attr,serious,cat.aria|wcag2a|wcag412|EN-301-549|EN-9.4.1.2,Ensure ARIA attributes are not prohibited for an element's role,Elements must only use permitted ARIA attributes,https://dequeuniversity.com/rules/axe/4.10/aria-prohibited-attr?application=playwright,serious,"<g fill=""rgb(128,134,139)"" font-size=""7.56500005722046"" font-family=""Google Sans"" font-style=""normal"" font-weight=""500"" aria-label=""30"" transform=""matrix(1,0,0,1,109.28500366210938,19.389999389648438)"" opacity=""1"" style=""display: block;"">","gws-lottie[width=""700""],g[aria-label=""30""][font-size=""7.56500005722046""][fill=""rgb(128,134,139)""]",none,aria-label attribute cannot be used on a g with no valid role attribute.,8
